Column1.1,Column1,Column1.3,Column1.4,Column1.5
TIME:3:41:21,,IR1:45,IR2:60,US:86
TIME:3:41:21,,IR1:75,IR2:75,US:74
TIME:3:41:22,,IR1:75,IR2:60,US:62
TIME:3:41:22,,IR1:60,IR2:75,US:49
TIME:3:41:23,,IR1:90,IR2:75,US:37
TIME:3:41:23,,IR1:15,IR2:60,US:26
TIME:3:41:24,,IR1:75,IR2:75,US:18
TIME:3:41:24,,IR1:15,IR2:60,US:44
TIME:3:41:25,,IR1:60,IR2:60,US:35
TIME:3:41:26,,IR1:30,IR2:60,US:30
TIME:3:41:26,,IR1:105,IR2:60,US:67
TIME:3:41:27,,IR1:45,IR2:75,US:54
TIME:3:41:27,,IR1:45,IR2:75,US:54
TIME:3:41:28,,IR1:0,IR2:60,US:91
TIME:3:41:28,,IR1:15,IR2:75,US:49
TIME:3:41:29,,IR1:60,IR2:60,US:47
TIME:3:41:29,,IR1:75,IR2:90,US:35
TIME:3:41:30,,IR1:90,IR2:75,US:53
TIME:3:41:30,,IR1:75,IR2:60,US:39
TIME:3:41:31,,IR1:75,IR2:75,US:25
TIME:3:41:31,,IR1:0,IR2:75,US:27
TIME:3:41:32,,IR1:0,IR2:60,US:31
TIME:3:41:33,,IR1:0,IR2:60,US:30
TIME:3:41:33,,IR1:75,IR2:60,US:81
TIME:3:41:34,,IR1:75,IR2:75,US:73
TIME:3:41:34,,IR1:60,IR2:60,US:61
TIME:3:41:35,,IR1:75,IR2:75,US:39
TIME:3:41:35,,IR1:135,IR2:75,US:37
TIME:3:41:36,,IR1:45,IR2:90,US:24
TIME:3:41:36,,IR1:120,IR2:90,US:16
TIME:3:41:37,,IR1:45,IR2:75,US:48
TIME:3:41:37,,IR1:60,IR2:60,US:53
TIME:3:41:38,,IR1:105,IR2:60,US:41
TIME:3:41:39,,IR1:75,IR2:75,US:34
TIME:3:41:39,,IR1:30,IR2:60,US:24
TIME:3:41:39,,IR1:30,IR2:75,US:60
TIME:3:41:40,,IR1:30,IR2:75,US:116
TIME:3:41:41,,IR1:75,IR2:75,US:36
TIME:3:41:41,,IR1:75,IR2:90,US:26
TIME:3:41:42,,IR1:75,IR2:60,US:66
TIME:3:41:42,,IR1:60,IR2:75,US:54
TIME:3:41:43,,IR1:60,IR2:75,US:41
TIME:3:41:43,,IR1:60,IR2:75,US:31
TIME:3:41:44,,IR1:15,IR2:90,US:20
TIME:3:41:44,,IR1:45,IR2:60,US:58
TIME:3:41:45,,IR1:15,IR2:60,US:53
TIME:3:41:45,,IR1:30,IR2:60,US:99
TIME:3:41:46,,IR1:60,IR2:60,US:90
TIME:3:41:46,,IR1:60,IR2:75,US:79
TIME:3:41:47,,IR1:75,IR2:60,US:39
TIME:3:41:48,,IR1:45,IR2:75,US:29
TIME:3:41:48,,IR1:90,IR2:75,US:20
TIME:3:41:49,,IR1:0,IR2:75,US:61
TIME:3:41:49,,IR1:45,IR2:75,US:90
TIME:3:41:50,,IR1:105,IR2:75,US:80
TIME:3:41:50,,IR1:75,IR2:75,US:66
TIME:3:41:51,,IR1:105,IR2:75,US:53
TIME:3:41:51,,IR1:60,IR2:60,US:40
TIME:3:41:52,,IR1:60,IR2:75,US:28
TIME:3:41:53,,IR1:30,IR2:60,US:16
TIME:3:41:53,,IR1:60,IR2:45,US:8
TIME:3:41:53,,IR1:0,IR2:0,US:68
TIME:3:41:54,,IR1:0,IR2:0,US:70
TIME:3:41:54,,IR1:0,IR2:0,US:76
TIME:3:41:55,,IR1:0,IR2:0,US:71
TIME:3:41:56,,IR1:0,IR2:0,US:87
TIME:3:41:56,,IR1:0,IR2:0,US:46
TIME:3:41:57,,IR1:0,IR2:0,US:62
TIME:3:41:57,,IR1:0,IR2:0,US:61
TIME:3:41:58,,IR1:45,IR2:60,US:58
TIME:3:41:58,,IR1:60,IR2:45,US:80
TIME:3:41:59,,IR1:15,IR2:15,US:64
TIME:3:41:59,,IR1:75,IR2:15,US:69
TIME:3:42:00,,IR1:15,IR2:15,US:45
TIME:3:42:00,,IR1:0,IR2:0,US:45
TIME:3:42:01,,IR1:0,IR2:0,US:51
TIME:3:42:02,,IR1:105,IR2:60,US:58
TIME:3:42:02,,IR1:45,IR2:60,US:56
TIME:3:42:03,,IR1:30,IR2:75,US:47
TIME:3:42:03,,IR1:45,IR2:90,US:38
TIME:3:42:04,,IR1:15,IR2:60,US:47
TIME:3:42:04,,IR1:75,IR2:75,US:94
TIME:3:42:05,,IR1:90,IR2:75,US:80
TIME:3:42:05,,IR1:75,IR2:75,US:23
TIME:3:42:06,,IR1:60,IR2:75,US:57
TIME:3:42:06,,IR1:45,IR2:75,US:53
TIME:3:42:07,,IR1:45,IR2:60,US:81
TIME:3:42:07,,IR1:60,IR2:60,US:72
TIME:3:42:08,,IR1:75,IR2:90,US:62
TIME:3:42:08,,IR1:75,IR2:60,US:49
TIME:3:42:09,,IR1:135,IR2:75,US:37
TIME:3:42:10,,IR1:60,IR2:60,US:25
TIME:3:42:10,,IR1:15,IR2:75,US:15
TIME:3:42:11,,IR1:15,IR2:75,US:74
TIME:3:42:11,,IR1:30,IR2:60,US:65
TIME:3:42:12,,IR1:60,IR2:75,US:57
TIME:3:42:12,,IR1:75,IR2:60,US:47
TIME:3:42:13,,IR1:60,IR2:60,US:36
TIME:3:42:13,,IR1:75,IR2:75,US:27
TIME:3:42:14,,IR1:60,IR2:60,US:18
TIME:3:42:14,,IR1:15,IR2:90,US:103
TIME:3:42:15,,IR1:45,IR2:60,US:98
TIME:3:42:16,,IR1:75,IR2:75,US:78
TIME:3:42:16,,IR1:75,IR2:75,US:62
TIME:3:42:17,,IR1:75,IR2:75,US:50
TIME:3:42:17,,IR1:45,IR2:60,US:39
TIME:3:42:18,,IR1:15,IR2:90,US:17
TIME:3:42:18,,IR1:60,IR2:60,US:100
TIME:3:42:19,,IR1:30,IR2:75,US:83
TIME:3:42:19,,IR1:75,IR2:60,US:80
TIME:3:42:20,,IR1:75,IR2:75,US:75
TIME:3:42:20,,IR1:120,IR2:75,US:77
TIME:3:42:21,,IR1:30,IR2:75,US:41
TIME:3:42:21,,IR1:0,IR2:60,US:58
TIME:3:42:22,,IR1:15,IR2:75,US:53
TIME:3:42:22,,IR1:75,IR2:75,US:82
TIME:3:42:23,,IR1:90,IR2:75,US:73
TIME:3:42:23,,IR1:75,IR2:75,US:37
TIME:3:42:24,,IR1:60,IR2:75,US:25
TIME:3:42:25,,IR1:90,IR2:75,US:47
TIME:3:42:25,,IR1:0,IR2:60,US:38
TIME:3:42:26,,IR1:45,IR2:60,US:33
TIME:3:42:26,,IR1:45,IR2:45,US:101
TIME:3:42:27,,IR1:60,IR2:75,US:91
TIME:3:42:28,,IR1:75,IR2:75,US:84
