Vl,Vr,S
145,145,234
150,150,400
85,85,81
140,120,400
120,130,400
40,10,19
60,10,9
45,20,34
45,15,20
30,10,45
35,10,29
35,10,33
35,10,28
35,10,21
120,120,400
110,120,295
150,130,285
120,125,288
110,120,279
120,135,400
110,110,259
100,120,400
125,135,400
150,150,400
120,130,400
120,125,400
110,110,145
120,120,175
145,145,225
110,120,400
105,130,400
140,125,400
50,50,80
65,65,87
75,75,94
80,80,84
75,85,71
50,60,64
120,120,170
120,120,126
100,120,400
145,140,199
120,120,400
115,120,400
130,125,400
125,110,400
120,120,400
110,120,400
120,110,190
125,140,400
120,120,400
120,140,400
120,140,400
110,115,133
85,90,115
45,45,66
50,55,57
75,70,79
45,45,72
40,50,46
50,35,35
40,35,42
85,85,118
40,50,35
25,40,25
40,10,16
14,140,184
75,80,88
75,80,97
90,95,114
125,130,349
120,125,338
120,120,329
120,140,319
120,135,311
120,105,132
120,120,292
120,130,327
75,80,104
85,85,96
70,70,87
70,70,78
60,60,70
40,40,60
45,40,51
150,150,400
40,15,32
45,15,27
150,150,400
150,140,400
135,135,246
150,150,400
120,120,179
120,120,174
120,120,400
140,120,400
120,130,400
135,120,400
120,130,400
125,140,400
120,140,400
150,120,400
150,130,400
100,100,146
40,50,50
95,95,114
40,15,30
75,75,98
120,140,400
140,130,400
130,150,217
110,140,400
120,120,400
140,130,400
150,150,400
150,150,400
50,45,69
45,30,36
40,35,54
40,35,45
150,150,400
150,150,400
40,15,21
45,15,16
40,10,18
75,80,108
75,75,104
40,25,28
150,150,400
150,150,400
145,145,262
130,120,400
120,130,400
120,130,400
125,130,400
130,125,400
130,110,400
140,140,195
120,120,188
85,85,129
95,90,114
100,100,140
100,105,129
85,85,122
120,120,157
90,85,98
65,50,67
60,55,62
60,50,51
55,70,66
95,90,112
75,90,141
90,80,101
60,75,92
50,55,62
10,40,48
5,35,40
0,35,26
5,40,29
0,20,19
30,5,33
35,0,30
40,10,21
35,10,34
25,0,31
50,25,67
90,75,131
90,80,132
85,80,123
80,75,114
75,70,104
65,70,92
80,75,81
65,70,72
60,55,62
60,45,55
85,90,133
145,135,400
150,140,400
130,120,400
135,130,400
145,130,400
125,120,400
120,125,400
135,130,400
140,125,400
130,135,400
135,125,400
125,120,400
145,100,400
135,165,400
80,90,125
85,120,114
70,120,106
85,150,42
70,90,87
65,120,78
45,105,68
55,20,60
40,60,50
40,20,43
140,125,400
45,20,23
50,10,15
60,5,10
135,120,400
135,125,400
150,125,400
50,20,60
45,15,60
70,65,94
30,20,42
50,10,34
30,10,24
55,10,71
45,10,65
65,20,72
45,20,76
125,120,400
135,120,400
35,10,56
25,10,50
35,10,52
35,10,32
40,10,25
70,30,110
60,50,100
55,50,92
145,130,400
35,10,77
45,10,71
35,5,64
35,10,62
35,10,54
35,10,42
40,10,31
40,10,25
40,10,26
135,120,400
145,120,400
125,120,400
135,120,400
150,120,400
140,120,309
125,120,400
125,120,400
1290,120,400
1230,120,400
100,95,175
40,30,27
90,80,155
95,90,155
85,75,129
80,75,117
85,70,133
85,55,123
85,70,118
85,80,110
90,80,121
95,90,106
100,90,87
90,70,103
85,80,15
40,10,41
30,10,25
30,10,25
30,10,21
